ws;wd;freq_val;
0;0;0.00000000e+00;1000
1;0; 9.34808942e-04;1000
2;0; 2.17967291e-03;
3;0; 3.44671350e-03;
4;0; 4.56691162e-03;
5;0; 5.41074165e-03;
6;0; 5.89529781e-03;
7;0; 5.99259327e-03;
8;0; 5.72947922e-03;
9;0; 5.17762028e-03;
10;0; 4.43593358e-03;
11;0; 3.61011888e-03;
12;0; 2.79430655e-03;
13;0; 2.05860907e-03;
14;0; 1.44415459e-03;
15;0; 9.64915741e-04;
16;0; 6.14084364e-04;
17;0; 3.72226131e-04;
18;0; 2.14865479e-04;
19;0; 1.18092231e-04;
20;0; 6.17824197e-05;
21;0; 3.07593122e-05;
22;0; 1.45688310e-05;
23;0; 6.56250057e-06;
24;0; 2.81037901e-06;
25;0; 1.14382998e-06;
;;0;
